text,label
SHIT BABE THASA BIT MESSED UP.YEH SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY ILLSPEAK number U number MORO WEN IM NOT ASLEEP,0
Free msg. Sorry a service you ordered from number could not be delivered as you do not have sufficient credit. Please top up to receive the service.,1
For ur chance to win a currency number cash every wk TXT: ACTION to number TsCs www.movietrivia.tv custcare number number x number pwk,1
Must come later I normally bathe him in da afternoon mah,0
Thank u!,0
Why she wants to talk to me,0
Shant disturb u anymore Jia you,0
Lol yes. Our friendship is hanging on a thread cause u wont buy stuff.,0
Were gonna go get some tacos,0
Well keep in mind Ive only got enough gas for one more round trip barring a sudden influx of cash,0
Hello my boytoy Geeee I miss you already and I just woke up. I wish you were here in bed with me cuddling me. I love you,0
Excellent Ill see what rileys plans are,0
No im not gonna be able to. too late notice. ill be home in a few weeks anyway. what are the plans,0
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,0
K makes sense btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas,0
Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,0
Sounds like you have many talents! would you like to go on a dinner date next week?,0
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to number currency number SP:Tyrone,1
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG number ? RANDOM!,0
sorry no have got few things to do. may be in pub later.,0
Can you tell Shola to please go to college of medicine and visit the academic department tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.,0
Damn can you make it tonight or do you want to just wait til tomorrow,0
Lol or I could just starve and lose a pound by the end of the day.,0
K wait chikku il send aftr ltgt mins,0
FREE for number st week! No number Nokia tone number ur mob every week just txt NOKIA to number Get txting and tell ur mates. zed POBox number W number WQ norm number ptone number,1
Good Morning my Dear Shijutta Have a great amp successful day.,0
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,0
Was just about to ask. Will keep this one. Maybe thats why you didnt get all the messages we sent you on glo,0
Jane babes not goin number wrk feel ill after lst nite. Foned in already cover number me chuck. emoji,0
Im putting it on now. It should be ready for ltTIMEgt,0
Does uncle timi help in clearing cars,0
Yun buying But school got offer number plus only,0
S.im watching it in live,0
Yo Im at my parents gettin cash. Good news: we picked up a downstem,0
SMS. ac Blind Date number U!: Rodds number is number m from Aberdeen United Kingdom. Check Him out http:img. sms. acWicmb number cktz number r number ! number no Blind Dates send HIDE,1
number at the latest gs still there if you can scrounge up some ammo and want to give the new ak a try,0
Finish liao U?,0
Your account has been refilled successfully by INR ltDECIMALgt . Your KeralaCircle prepaid account balance is Rs ltDECIMALgt . Your Transaction ID is KR ltgt .,0
Hmmm And imagine after youve come home from that having to rub my feet make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?,0
Ever green quote ever told by Jerry in cartoon A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It ! !! emoji emoji gud nyt,0
Ive sent my wife your text. After we buy them shell tell you what to do. So just relax. We should go get them this wkend.,0
I dont want you to leave. But im barely doing what i can to stay sane. fighting with you constantly isnt helping.,0
say until like dat i dun buy ericsson oso cannot oredi lar,0
Hello darling how are you today? I would love to have a chat why dont you tell me what you look like and what you are in to sexy?,1
No chikku nt yet Ya im free,0
Anything lar then not going home number dinner?,0
Sir send to group mail check it.,0
Ok lor.,0
number Free Top Polyphonic Tones call number National Rate. Get a toppoly tune sent every week just text SUBPOLY to number currency number per pole. UnSub number,1
Now u sound like manky scouse boy stevelike! I is travelling on da bus home.wot has u inmind number recreation dis eve?,0
Im at arestaurant eating squid! i will be out about number : number wanna dosomething or is that to late?,0
Gr number new service live sex video chat on your mob see the sexiest dirtiest girls live on ur phone number details text horny to number to cancel send STOP to number,1
Thats good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,0
Ugh. Gotta drive back to sd from la. My butt is sore.,0
I didnt get anything da,0
I dont thnk its a wrong calling between us,0
Not sure yet still trying to get a hold of him,0
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,0
Whats happening with you. Have you gotten a job and have you begun registration for permanent residency,0
You have won ? number number cash or a ? number number prize! To claim call number TC: RSTM SW number number SS. number ppm,1
Freemsg: number month unlimited free calls! Activate SmartCall Txt: CALL to No: number Subscriptn number gbpwk unlimited calls Help: number Stop?txt stop landlineonly,1
Doesnt g have class early tomorrow and thus shouldnt be trying to smoke at ltgt,0
Auntie huai juan never pick up her phone,0
Haha awesome omw back now then,0
Yes there were many sweets,0
Have you bookedthe hut? And also your time off? How are you by the way?,0
I feel like a dick because I keep sleeping through your texts and facebook messages. Sup you in town?,0
BIG BROTHER ALERT! The computer has selected u for number k cash or number voucher. Call number NTT PO Box CRO number number BT Landline Cost number ppm mobiles vary,1
Ya ok vikky vl c witin ltgt mins and il reply u,0
K.then any other special?,0
Dearshall mail tonite.busy in the streetshall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.,0
Thank You meet you monday,0
SMS. ac JSco: Energy is high but u may not know where number channel it. number day ur leadership skills r strong. Psychic? Reply ANS wquestion. End? Reply END JSCO,1
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get number u in about number to number wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,0
alright tylers got a minor crisis and has to be home sooner than he thought so be here asap,0
Got hella gas money want to go on a grand nature adventure with galileo in a little bit?,0
He is impossible to argue with and he always treats me like his sub like he never released me Which he did and I will remind him of that if necessary,0
Wot u up number ? Thout u were gonna call me!! Txt bak luv K,0
Aiyah sorry lor I watch tv watch until i forgot number check my phone.,0
Am okay. Will soon be over. All the best,0
Thanks love. But am i doing torch or bold.,0
Cbe is really good nowadays emoji lot of shop and showrooms emoji city is shaping good.,0
Hi Chikku send some nice msgs,0
I accidentally brought em home in the box,0
Just trying to figure out when Im suppose to see a couple different people this week. We said wed get together but I didnt set dates,0
Your right! Ill make the appointment right now.,0
Oh ok no prob,0
Sad story of a Man Last week was my bday. My Wife didnt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said Happy Bday Boss !!. I felt special. She askd me number lunch. After lunch she invited me to her apartment. We went there. She said do u mind if I go into the bedroom for a minute ? OK I sed in a sexy mood. She came out number minuts latr wid a cake n My Wife My Parents My Kidz My Friends n My Colleagues. All screaming SURPRISE !! and I was waiting on the sofa NAKED !,0
Cab is available.they pick up and drop at door steps.,0
Lol boo I was hoping for a laugh,0
Jus finished avatar nigro,0
Ah well that confuses things doesnt it?,0
Theres someone here that has a year ltgt toyota camry like mr olayiwolas own. Mileage is ltgt k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,0
Yeah probably earlier than that,0
We tried to contact you re our offer of New Video Phone number anytime any network mins HALF PRICE Rental camcorder call number or reply for delivery Wed,1
Oh dang! I didnt mean o send that to you! Lol!,0
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,1
dun wan to watch infernal affair?,0
Nokia phone is lovly,0
I remain unconvinced that this isnt an elaborate test of my willpower,0
Im at bruce amp fowler now but Im in my moms car so I cant park (long story),0
Sir Waiting for your mail.,0
Have you always been saying welp?,0
I knew it U slept v late yest? Wake up so late,0
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0
Hows that watch resizing,0
You tell what happen dont behave like this to me. Ok no need to say,0
Ive reached already.,0
Wen ur lovable bcums angry wid u dnt take it seriously Coz being angry is d most childish n true way of showing deep affection care n luv! kettoda manda Have nice day da.,0
Monthly password for wap. mobsi.com is number Use your wap phone not PC.,1
Send to someone else emoji,0
Later i guess. I needa do mcat study too.,0
(Bank of Granite issues StrongBuy) EXPLOSIVE PICK FOR OUR MEMBERS UP OVER number Nasdaq Symbol CDGT That is a currency number per,1
One of best dialogue in cute reltnship !! Wen i Die Dont Come Near My Body !! Bcoz My Hands May Not Come number Wipe Ur Tears Off That Time !Gud ni number,0
Sleeping nt feeling well,0
You are awarded a SiPix Digital Camera! call number from landline. Delivery within number days. T Cs Box number M number BP. number yr warranty. number ppm. number . p p currency number,1
Sorry sent blank msg again. Yup but trying number do some serious studying now.,0
Awesome I remember the last time we got somebody high for the first time with diesel :V,0
Was a nice day and impressively i was sensible went home early and now feel fine. Or am i just boring?! Whens yours i cant remember.,0
Dear SirSalam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.,0
Evening v good if somewhat event laden. Will fill you in dont you worry Head ok but throat wrecked. See you at six then!,0
I am literally in bed and have been up for like ltgt hours,0
Ok da i already planned. I wil pick you.,0
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,1
This pen thing is beyond a joke. Wont a Biro do? Dont do a masters as cant do this ever again!,0
No that just means you have a fat head,0
Oh then your phone phoned me but it disconnected,0
Another month. I need chocolate weed and alcohol.,0
Going to join tomorrow.,0
Watching tv now. I got new job emoji,0
Nope watching tv at home Not going out. V bored,0
number that call cost. Which i guess isnt bad. Miss ya need ya want ya love ya,0
Just hopeing that wasnt too pissed up to remember and has gone off to his sisters or something!,0
Im taking derek amp taylor to walmart if Im not back by the time youre done just leave the mouse on my desk and Ill text you when priscillas ready,0
emoji emoji,0
I can make it up there squeezed ltgt bucks out of my dad,0
K fyi Im back in my parents place in south tampa so I might need to do the deal somewhere else,0
Dear reached railway. What happen to you,0
Saw Guys and Dolls last night with Patrick Swayze it was great,0
Where you. What happen,0
Yeah probably here for a while,0
Leave it. U will always be ignorant.,0
Ive not called you in a while. This is hoping it was l number r malaria and that you know that we miss you guys. I miss Bani big so pls give her my love especially. Have a great day.,0
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth currency number : number only with The Scotsman this Saturday. To stop go number notxt.co.uk,1
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT number LOVE ME XXX,0
Almost there see u in a sec,0
This message is brought to you by GMW Ltd. and is not connected to the,1
Yo you gonna still be in stock tomorrowtoday? Im trying to get a dubsack,0
I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT emoji,0
FreeMsgFAV XMAS TONES!Reply REAL,1
Ok lor. Msg me b number u call.,0
Good afternoon my love. How goes your day ? What are you up to ? I woke early and am online waiting for you Hmmm Italian boy is online I see . grins,0
Yeah I can still give you a ride,0
Hi. Customer Loyalty Offer:The NEW Nokia number Mobile from ONLY currency number at TXTAUCTION! Txt word: START to No: number get yours Now! number TCtxt TC number pMTmsg,1
Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh ex Tata AIG who joined TISSCOTayseer.,0
Beerage?,0
Aight should I just plan to come up later tonight?,0
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k,0
Where r e meeting tmr?,0
R u saying i should re order the slippers cos i had to pay for returning it.,0
Sppok up ur mob with a Halloween collection of nokia logopic message plus a FREE eerie tone txt CARD SPOOK to number,1
Thanks for your message. I really appreciate your sacrifice. Im not sure of the process of direct pay but will find out on my way back from the test tomorrow. Im in class now. Do have a wonderful day.,0
My love I hope your not doing anything drastic. Dont you dare sell your pc or your phone,0
For real tho this sucks. I cant even cook my whole electricity is out. And Im hungry.,0
Aslamalaikkum .insha allah tohar beeen muht albi mufti mahfuuz meaning same here .,0
Beautiful tomorrow never comes When it comes its already TODAY In the hunt of beautiful tomorrow dont waste your wonderful TODAY GOODMORNING emoji,0
URGENT! Your Mobile number has been awarded with a currency number prize GUARANTEED. Call number from land line. Claim number Valid number hrs only,1
Rofl. Its true to its name,0
Yeah we wouldnt leave for an hour at least hows number sound?,0
Hey are you angry with me. Reply me dr.,0
number mro i am not coming to gym machan. Goodnight.,0
Do have a nice day today. I love you so dearly.,0
Shes fine. Sends her greetings,0
Ok. I only ask abt e movie. U wan ktv oso?,0
Dunno dats wat he told me. Ok lor,0
My battery is low babe,0
Nice talking to you! please dont forget my pix emoji i want to see all of you,0
Dude. Whats up. How Teresa. Hope you have been okay. When i didnt hear from these people i called them and they had received the package since dec ltgt . Just thot yould like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle then your work is done.,0
Hmm ill have to think about it ok youre forgiven! D,0
Now im going for lunch.,0
Honestly ive just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,0
Aight call me once youre close,0
All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,0
Good! No dont need any receiptswell done! () Yes please tell . Whats her number i could ring her,0
Tunji hows the queen? how are you doing. This is just wishing you a great day. Abiola.,0
Yo come over carlos will be here soon,0
Enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly,0
Yup but its not giving me problems now so mayb ill jus leave it,0
Thanks honey but still havent heard anything I will leave it a bit longer so not number crowd him and will try later great advice thanks hope cardiff is still there!,0
What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,0
Nope thats fine. I might have a nap tho!,0
Are you going to wipro interview today?,0
You can donate currency number to UNICEFs Asian Tsunami disaster support fund by texting DONATE to number currency number will be added to your next bill,1
In da car park,0
Well I have to leave for my class babe You never came back to me emoji Hope you have a nice sleep my love,0
Then come n pick me at number ar?,0
No need for the drug anymore.,0
I call you later dont have network. If urgnt sms me.,0
Urgent! Please call number from landline. Your ABTA complimentary number Tenerife Holiday or currency number cash await collection SAE TCs Box number CW number WX number ppm,1
Oops i thk i dun haf enuff I go check then tell,0
Serious? What like proper tongued her,0
New Mobiles from number MUST GO! Txt: NOKIA to No: number collect yours today! From ONLY currency number www number tc.biz number optout number gbpmtmsg number TXTAUCTION.,1
K.k emoji apo k.good movie.,0
I love you both too emoji,0
Im done. Im sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If im not around when you move it just lock all the locks and leave the key with jenne.,0
They said if its gonna snow it will start around number or number pm tonite! They are predicting an inch of accumulation.,0
Sorry i cant take your call right now. It so happens that there r number waxsto do wat you want. She can come and ill get her medical insurance. And shell be able to deliver and have basic care. Im currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,0
This is the number nd time we have tried number contact u. U have won the number Pound prize. number claim is easy call number NOW! Only number p per min. BTnationalrate,1
Dear Voucher Holder To claim this weeks offer at your PC please go to http:www.wtlp.co.uktext. TsCs apply.,1
Im also came to room.,0
Gods love has no limit. Gods grace has no measure. Gods power has no boundaries. May u have Gods endless blessings always in ur life !! Gud ni number,0
I will come with karnan car. Please wait till number pm will directly goto doctor.,0
K text me when youre on the way,0
Yeah jays sort of a fucking retard,0
IMPORTANT INFORMATION number ORANGE USER number XXXXXX. TODAY IS UR LUCKY DAY! number FIND OUT WHY LOG ONTO http:www.urawinner.com THERES A FANTASTIC PRIZEAWAITING YOU!,1
Ok i am on the way to home hi hi,0
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong gt emoji,0
Great. Have a safe trip. Dont panic surrender all.,0
Will be out of class in a few hours. Sorry,0
U GOIN OUT number NITE?,0
Yup next stop.,0
Argh my number g is spotty anyway the only thing I remember from the research we did was that province and sterling were the only problemfree places we looked at,0
Ha ha ha good joke. Girls are situation seekers.,0
Oh all have to come ah?,0
number I dont have her number and number its gonna be a massive pain in the ass and id rather not get involved if thats possible,0
Ok i am on the way to railway,0
U repeat e instructions again. Wats e road name of ur house?,0
Im done. Just studyn in library,0
Abeg make profit. But its a start. Are you using it to get sponsors for the next event?,0
Had your mobile number mths? Update to the latest CameraVideo phones for FREE. KEEP UR SAME NUMBER Get extra free minstexts. Text YES for a call,1
Wow v v impressed. Have funs shopping!,0
It shall be fine. I have avalarr now. Will hollalater,0
Aight I should be there by number at the latest probably closer to number Are jay and tyler down or should we just do two trips?,0
I will once i get home,0
Oh emoji only number outside players allowed to play know,0
Thats cool princess! I will cover your face in hot sticky cum emoji,0
Doc prescribed me morphine cause the other pain meds arent enough. Waiting for my mom to bring it. That med should kick in fast so Im gonna try to be on later,0
Am surfing online store. For offers do you want to buy any thing.,0
Sorry . I will be able to get to you. See you in the morning.,0
Boo. Hows things? Im back at home and a little bored already emoji,0
SMS. ac sun number posts HELLO:You seem cool wanted to say hi. HI!!! Stop? Send STOP to number,1
Received understood n acted upon!,0
Pandy joined number w technologies today.he got job,0
You are gorgeous! keep those pix cumming emoji thank you!,0
Msg me when rajini comes.,0
No current and food here. I am alone also,0
Probably gonna be here for a while see you later tonight lt),0
You can never do NOTHING,0
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w number in number uTxt rply CHAT to number Hlp number Msg number p number rcv,1
i am seeking a lady in the street and a freak in the sheets. Is that you?,0
If i let you do this i want you in the house by number am.,0
FREE entry into our currency number weekly comp just send the word ENTER to number NOW. number TC www.textcomp.com cust care number,1
Remember to ask alex about his pizza,0
Call number to use ur mins! Calls cast number pmin (mob vary). Service provided by AOM just GBP number month. AOM Box number M number number ER until u stop. Ages number only!,1
You have been specially selected to receive a number pound award! Call number BEFORE the lines close. Cost number ppm. number . TCs apply. AG Promo,1
Aiyar u so poor thing I give u my support k Jia you! Ill think of u,0
ALSO TELL HIM I SAID HAPPY BIRTHDAY,0
Get ready to put on your excellent sub face emoji,0
This pay is ltDECIMALgt lakhs emoji,0
Yes we were outside for like number hours. And I called my whole family to wake them up cause it started at number am,0
Eerie Nokia tones number u rply TONE TITLE to number eg TONE DRACULA to number Titles: GHOST ADDAMSFA MUNSTERS EXORCIST TWILIGHT www.getzed.co.uk POBox number W number WQ number p,1
Lol. Well quality aint bad at all so i aint complaining,0
Urgent! Please call number Your ABTA complimentary number Spanish Holiday or currency number number cash await collection SAE TCs BOX number PO number number EZ number ppm number,1
Yar lor How u noe? U used dat route too?,0
Oooh I got plenty of those!,0
Am also doing in cbe only. But have to pay.,0
Oh baby of the house. How come you dont have any new pictures on facebook,0
Guess who spent all last night phasing in and out of the fourth dimension,0
Every King Was Once A Crying Baby And Every Great Building Was Once A Map Not Imprtant Where U r TODAY BUT Where U Wil Reach TOMORW. Gud ni number,0
Im wif him now buying tix lar,0
Hey babe! I saw you came online for a second and then you disappeared what happened ?,0
But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,0
Once free call me sir.,0
Dont pack what you can buy at any store.like cereals. If you must pack food pack gari or something number ja that you will miss.,0
Can all decide faster cos my sis going home liao,0
The guy (kadeem) hasnt been selling since the break I know one other guy but hes paranoid as fuck and doesnt like selling without me there and I cant be up there til late tonight,0
You need to get up. Now.,0
Senthil group company Apnt number pm.,0
Wat uniform? In where get?,0
Just nw i came to hme da,0
Hey sweet I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it wont go over yahoo for them because their connection sucks remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great my prey teasing kiss,0
For sale arsenal dartboard. Good condition but no doubles or trebles!,1
Alright took the morphine. Back in yo.,0
Lol now Im after that hot air balloon!,0
Call number and send our girls into erotic ecstacy. Just number pmin. To stop texts call number (nat rate),1
Gimme a few was ltgt minutes ago,0
Now project pa. After that only i can come.,0
Maybe i could get book out tomo then return it immediately ? Or something.,0
Hey no I ad a crap nite was borin without ya number boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,0
I dont run away frm u I walk slowly amp it kills me that u dont care enough to stop me,0
So do you have samus shoulders yet,0
Are you there in room.,0
WHO ARE YOU SEEING?,0
Call me when ure done,0
Were on the opposite side from where we dropped you off,0
What happen dear. Why you silent. I am tensed,0
Uve been selected to stay in number of number top British hotels FOR NOTHING! Holiday valued at currency number ! Dial number to claim National Rate Call. Bx number SW number SS,1
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,0
Lol oh you got a friend for the dog ?,0
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didnt hear a word from him,0
Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.,0
Yes. I come to nyc for audiitions and am trying to relocate.,0
Tension ah?what machi?any problem?,0
( oh well c u later,0
Pls come quick cant bare this.,0
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,0
URGENT! This is the number nd attempt to contact U!U have WON currency number CALL number b number number tcsBCM number WC number N number XX.callcost number ppmmobilesvary. max currency number number,1
Ugh its been a long day. Im exhausted. Just want to cuddle up and take a nap,0
Helloooo Wake up ! Sweet morning welcomes You Enjoy This Day with full of joy GUD MRNG.,0
Best msg: Its hard to be with a person when u know that one more step foward will make u fall in love amp One step back can ruin ur friendship good night emoji,0
I reach home safe n sound liao,0
Its a part of checking IQ,0
Sorry Ill call later in meeting.,0
No im not. I cant give you everything you want and need. You actually could do better for yourself on yor ownyouve got more money than i do. I cant get work i cant get a man i cant pay the rent i cant even fill my fucking gas tank. yes im stressed and depressed. I didnt even call home for thanksgiving cuz ill have to tell them im up to nothing.,0
GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI,0
Meet after lunch la,0
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,0
Reckon need to be in town by eightish to walk from carpark.,0
What do U want for Xmas? How about number free text messages a new video phone with half price line rental? Call free now on number number to find out more!,1
K.k emoji im going to tirunelvali this week to see my uncle i already spend the amount by taking dress .so only i want money.i will give it on feb number,0
Superb Thought Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today. emoji,0
FREE MSG:We billed your mobile number by mistake from shortcode number Please call number to have charges refunded.This call will be free from a BT landline,1
Can send me a copy of da report?,0
My tuition is at number Hm we go for the number to number one? Do you mind?,0
Dont you have message offer,0
Did you say bold then torch later. Or one torch and number bold?,0
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh I also dunno wat she collecting.,0
Will be office around number pm. Now i am going hospital.,0
I am not at all happy with what you saying or doing,0
on a Tuesday night r u number real,0
Youll never believe this but i have actually got off at taunton. Wow,0
Whats your room number again? Wanna make sure Im knocking on the right door,0
X course it number yrs. Just so her messages on messenger lik you r sending me,0
Jus chillaxin what up,0
You should change your fb to jaykwon thuglyfe falconerf,0
Am in film ill call you later.,0
bot notes oredi Cos i juz rem i got,0
U buy newspapers already?,0
Let me know if you need anything else. Salad or desert or something How many beers shall i get?,0
Can you talk with me,0
Therell be a minor shindig at my place later tonight you interested?,0
Update your face book status frequently emoji,0
Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline number PoBox number W number RG number p,1
Mila age number blonde new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to number . number pptxt number st number free. currency number increments. Help number,1
Whats a feathery bowa? Is that something guys have that I dont know about?,0
Wats da model num of ur phone?,0
ALRITE HUNNY!WOT U UP number number NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.,0
This pain couldnt have come at a worse time.,0
Lol I would but despite these cramps I like being a girl.,0
Will b going to esplanade fr home?,0
My planning usually stops at find hella weed smoke hella weed,0
Good words . But words may leave u in dismay many times.,0
Keep yourself safe for me because I need you and I miss you already and I envy everyone that sees you in real life,0
Hey i booked the kb on sat already what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,0
But i dint slept in afternoon.,0
I didnt get the second half of that message,0
Me fine absolutly fine,0
Kit Strip you have been billed number p. Netcollex Ltd. PO Box number IG number OJA,1
Oh is it? Send me the address,0
Had your mobile number mths ? Update for FREE to Oranges latest colour camera mobiles unlimited weekend calls. Call Mobile Upd number on freefone number or number StopTx,1
What happen dear tell me,0
Just got to ltgt,0
Hmmm I thought we said number hours slave not number You are late How should I punish you ?,0
Will do you gonna be at blakes all night? I might be able to get out of here a little early,0
I am hot n horny and willing I live local to you text a reply to hear strt back from me number p per msg Netcollex LtdHelpDesk: number reply Stop to end,1
Becoz its ltgt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,0
Sorry was in the bathroom sup,0
Thought praps you meant another one. Goodo! Ill look tomorrow,0
Oh ok i didnt know what you meant. Yep i am baby jontin,0
Aiyah u did ok already lar. E nydc at wheellock?,0
Its reassuring in this crazy world.,0
Free entry in number a weekly comp for a chance to win an ipod. Txt POD to number to get entry (std txt rate) TCs apply number for details number,1
Not getting anywhere with this damn job hunting over here!,0
U wake up already? Wat u doing? U picking us up later rite? Im taking sq number reaching ard number smth number like dat. U can check e arrival time. C ya soon,0
You will recieve your tone within the next number hrs. For Terms and conditions please see Channel U Teletext Pg number,1
Sary just need Tim in the bollox it hurt him a lot so he tol me!,0
Our dating service has been asked number contact U by someone shy! CALL number NOW all will be revealed. POBox number M number number UZ number p,1
A swt thought: Nver get tired of doing little things number lovable persons Coz somtimes those little things occupy d biggest part in their Hearts Gud ni number,0
Im leaving my house now,0
My exam is for february number Wish you a great day.,0
Fine i miss you very much.,0
Hi the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service,1
Nope Think i will go for it on monday Sorry i replied so late,0
Beautiful Truth against Gravity Read carefully: Our heart feels light when someone is in it But it feels very heavy when someone leaves it GOODMORNING,0
