cleanlab_row_ID,image,pose,eye,expression,cleanlab_is_label_issue,cleanlab_is_ambiguous,cleanlab_is_outlier,cleanlab_action,cleanlab_suggested_label_original,cleanlab_suggested_label_pred,cleanlab_ambiguous_score,cleanlab_outlier_score,cleanlab_predicted_label_prob,cleanlab_predicted_label,cleanlab_top_labels,cleanlab_top_probs
24,an2i_straight_sad_sunglasses.png,straight,sunglasses,sad,FALSE,FALSE,FALSE,,,,0.976674429,0.523252904,0.312576456,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.31257645611110296, 0.26894754523863057, 0.23625446146938858, 0.18222153718087794]"
25,an2i_up_angry_open.png,up,open,angry,TRUE,FALSE,FALSE,unresolved,sad,sad,0.947532928,0.718037486,0.421407438,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.42140743818858906, 0.209393904257447, 0.18884706091299802, 0.18035159664096598]"
26,an2i_up_angry_sunglasses.png,up,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,sad,sad,0.979200462,0.601219535,0.340596858,sad,"[""sad"", ""neutral"", ""happy"", ""angry""]","[0.34059685820344693, 0.2560060976637105, 0.2096160059599308, 0.1937810381729117]"
27,an2i_up_happy_open.png,up,open,happy,FALSE,FALSE,FALSE,,,,0.999145371,0.657592297,0.294909193,happy,"[""happy"", ""neutral"", ""sad"", ""angry""]","[0.29490919308415664, 0.24555988663827288, 0.24104467161886337, 0.2184862486587071]"
28,an2i_up_happy_sunglasses.png,up,sunglasses,happy,TRUE,TRUE,FALSE,unresolved,neutral,neutral,0.994975417,0.568204522,0.260540131,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.26054013138062054, 0.2540955703026285, 0.24384728223175917, 0.24151701608499176]"
29,an2i_up_neutral_open.png,up,open,neutral,TRUE,FALSE,FALSE,unresolved,sad,sad,0.98527459,0.614954352,0.323371923,sad,"[""sad"", ""neutral"", ""happy"", ""angry""]","[0.32337192270894527, 0.2777255654404582, 0.24513302128481618, 0.1537694905657803]"
30,an2i_up_neutral_sunglasses.png,up,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.990472809,0.521041691,0.287778959,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.2877789589315844, 0.26091560312848533, 0.2344861075333949, 0.21681933040653534]"
31,an2i_up_sad_open.png,up,open,sad,FALSE,FALSE,FALSE,,,,0.976938513,0.642162919,0.319538838,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.3195388383650434, 0.26255505972596305, 0.2316822875221352, 0.18622381438685842]"
32,an2i_up_sad_sunglasses.png,up,sunglasses,sad,FALSE,FALSE,FALSE,,,,0.989411163,0.594621062,0.275906481,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.27590648118832556, 0.26674369173376106, 0.24291246326751043, 0.21443736381040285]"
33,at33_left_angry_open.png,left,open,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.955651007,0.638409853,0.408456653,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.40845665274173437, 0.3518889570183704, 0.13561535128209354, 0.10403903895780177]"
34,at33_left_angry_sunglasses.png,left,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.969012155,0.672584713,0.364206011,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.36420601076254505, 0.35966872006611444, 0.16863719825426812, 0.10748807091707233]"
35,at33_left_happy_open.png,left,open,happy,FALSE,FALSE,FALSE,,,,0.993282065,0.606793225,0.337771795,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.33777179487425624, 0.30423445813450134, 0.18639281717588305, 0.1716009298153594]"
36,at33_left_happy_sunglasses.png,left,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.993029931,0.527876139,0.336351481,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.3363514813597727, 0.30656826358775474, 0.18729417367355328, 0.1697860813789193]"
37,at33_left_neutral_open.png,left,open,neutral,FALSE,FALSE,FALSE,,,,0.990429256,0.591974199,0.349745047,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.34974504671624457, 0.27906819463932026, 0.19490998670285958, 0.17627677194157554]"
38,at33_left_neutral_sunglasses.png,left,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.992762559,0.514242768,0.340561567,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.3405615670035004, 0.2687472667979899, 0.19895699060064134, 0.1917341755978684]"
39,at33_left_sad_open.png,left,open,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.929424127,0.619789898,0.48470009,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.4847000899752767, 0.3059960562874237, 0.1146231812606977, 0.09468067247660193]"
40,at33_left_sad_sunglasses.png,left,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.939294894,0.518007159,0.479513824,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.4795138237887958, 0.2809948910176888, 0.12734689497996804, 0.11214439021354726]"
41,at33_right_angry_open.png,right,open,angry,FALSE,FALSE,FALSE,,,,0.988726765,0.789977312,0.283524312,angry,"[""angry"", ""neutral"", ""happy"", ""sad""]","[0.28352431160283575, 0.2689766914626687, 0.22525267927678644, 0.22224631765770905]"
42,at33_right_angry_sunglasses.png,right,sunglasses,angry,FALSE,TRUE,FALSE,unresolved,,,0.99590496,0.785502672,0.285161531,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.28516153051114385, 0.2537170772357603, 0.24751570842466808, 0.21360568382842765]"
43,at33_right_happy_open.png,right,open,happy,FALSE,FALSE,FALSE,,,,0.992296093,0.698028803,0.333884045,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.33388404495018875, 0.3161463843616397, 0.17649364261296754, 0.17347592807520387]"
44,at33_right_happy_sunglasses.png,right,sunglasses,happy,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.943824582,0.632299423,0.451424303,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.45142430345143764, 0.3136196258909505, 0.1434277900486937, 0.09152828060891816]"
45,at33_right_neutral_open.png,right,open,neutral,FALSE,FALSE,FALSE,,,,0.99045479,0.587952495,0.348718842,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.3487188422124686, 0.25330351975899035, 0.20659499284162525, 0.19138264518691575]"
46,at33_right_neutral_sunglasses.png,right,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.990659074,0.568480968,0.347927524,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.3479275239976092, 0.25456579660373074, 0.2065183186110213, 0.1909883607876387]"
47,at33_right_sad_open.png,right,open,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.944003076,0.624719918,0.453634371,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.45363437086154723, 0.3194152421410191, 0.12041427927557082, 0.10653610772186294]"
48,at33_right_sad_sunglasses.png,right,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.950001501,0.578929424,0.463512454,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.4635124537006009, 0.26840140888972436, 0.14266945056401986, 0.1254166868456549]"
49,at33_straight_angry_open.png,straight,open,angry,TRUE,FALSE,FALSE,unresolved,happy,happy,0.970892965,0.841215074,0.44634145,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.44634144963554573, 0.23161149123232333, 0.1724967877613794, 0.1495502713707515]"
50,at33_straight_angry_sunglasses.png,straight,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,happy,happy,0.982356646,0.773772418,0.393347033,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.3933470332019013, 0.27871193071010375, 0.18756254309142076, 0.14037849299657426]"
51,at33_straight_happy_open.png,straight,open,happy,FALSE,FALSE,FALSE,,,,0.988688127,0.751312733,0.372112978,happy,"[""happy"", ""neutral"", ""sad"", ""angry""]","[0.37211297751932537, 0.29169174615441246, 0.16827452211147784, 0.1679207542147844]"
52,at33_straight_happy_sunglasses.png,straight,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.99221681,0.869585514,0.370171845,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.37017184481763155, 0.26313556132986143, 0.18450052121776186, 0.18219207263474513]"
53,at33_straight_neutral_open.png,straight,open,neutral,FALSE,FALSE,FALSE,,,,0.995295696,0.664881229,0.32439547,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.32439546960290616, 0.292314981350022, 0.19229786220564954, 0.19099168684142237]"
54,at33_straight_neutral_sunglasses.png,straight,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.996277571,0.803350806,0.317366668,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.31736666772120103, 0.2645586833299127, 0.2121022660306838, 0.20597238291820247]"
55,at33_straight_sad_open.png,straight,open,sad,TRUE,FALSE,FALSE,unresolved,happy,happy,0.964330548,0.731333017,0.415842213,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.4158422131628945, 0.33016262377612, 0.13138895498012523, 0.12260620808086037]"
56,at33_straight_sad_sunglasses.png,straight,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,happy,happy,0.985749679,0.769002199,0.368410829,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.3684108289703632, 0.3074518320740098, 0.1748155521392059, 0.14932178681642105]"
57,at33_up_angry_open.png,up,open,angry,FALSE,TRUE,FALSE,unresolved,,,0.997180946,0.828822672,0.31611585,happy,"[""happy"", ""angry"", ""sad"", ""neutral""]","[0.3161158501159068, 0.22994022500566094, 0.2285222526352647, 0.22542167224316753]"
58,at33_up_angry_sunglasses.png,up,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.985332518,0.684958816,0.344547868,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.3445478677470638, 0.33498832486085967, 0.16632565567817129, 0.15413815171390516]"
59,at33_up_happy_open.png,up,open,happy,FALSE,FALSE,FALSE,,,,0.980645768,0.744253993,0.408009149,happy,"[""happy"", ""angry"", ""neutral"", ""sad""]","[0.40800914889338824, 0.2128260623275622, 0.1929055072983872, 0.18625928148066243]"
60,at33_up_happy_sunglasses.png,up,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.99588601,0.810599625,0.342796385,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.3427963847858634, 0.25209993341548653, 0.2179781482460267, 0.18712553355262346]"
61,at33_up_neutral_open.png,up,open,neutral,FALSE,FALSE,FALSE,,,,0.984623592,0.712574244,0.303064998,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.30306499753300037, 0.25410162406396836, 0.24692235211033814, 0.19591102629269316]"
62,at33_up_neutral_sunglasses.png,up,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.99123174,0.707733035,0.300566598,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.30056659812988684, 0.23967961814669964, 0.23909974764299088, 0.2206540360804226]"
63,at33_up_sad_open.png,up,open,sad,FALSE,FALSE,FALSE,,,,0.983094047,0.709921539,0.275861058,sad,"[""sad"", ""angry"", ""neutral"", ""happy""]","[0.27586105752934315, 0.2706107242382668, 0.2518409946493934, 0.20168722358299665]"
64,at33_up_sad_sunglasses.png,up,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.991942249,0.674358249,0.339721792,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.33972179206884534, 0.2499340934549864, 0.23009137703645158, 0.18025273743971662]"
65,boland_left_angry_open.png,left,open,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.975841162,0.557022631,0.401750735,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.4017507347181425, 0.2781114169768524, 0.16603078504327703, 0.15410706326172813]"
66,boland_left_angry_sunglasses.png,left,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.968881175,0.547029614,0.41942752,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.41942751979592, 0.274000288010296, 0.16602880381815247, 0.14054338837563143]"
67,boland_left_happy_open.png,left,open,happy,FALSE,FALSE,FALSE,,,,0.993548451,0.5853917,0.339338944,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.339338944170048, 0.3008933018769719, 0.18704659598519696, 0.17272115796778303]"
68,boland_left_happy_sunglasses.png,left,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.992845658,0.611816883,0.362202637,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.3622026368683661, 0.23356812363322632, 0.21758502068374286, 0.18664421881466478]"
69,boland_left_neutral_open.png,left,open,neutral,FALSE,FALSE,FALSE,,,,0.983899068,0.559495926,0.345612978,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.34561297810137936, 0.2352479568468522, 0.21648878353805895, 0.20265028151370953]"
70,boland_left_neutral_sunglasses.png,left,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.996663299,0.533129215,0.311444266,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.31144426593725205, 0.2654371470542578, 0.21491731480593257, 0.20820127220255774]"
71,boland_left_sad_open.png,left,open,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.979712132,0.579608142,0.391931696,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.39193169554375246, 0.23315784380151394, 0.20148918018496328, 0.17342128046977012]"
72,boland_left_sad_sunglasses.png,left,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.986848346,0.636033416,0.365068331,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.365068331390926, 0.28308454689189044, 0.181680138809309, 0.17016698290787458]"
73,boland_right_angry_open.png,right,open,angry,FALSE,FALSE,FALSE,,,,0.990529639,0.687809944,0.264037935,angry,"[""angry"", ""sad"", ""neutral"", ""happy""]","[0.2640379348485515, 0.2557512721978016, 0.2521289462571332, 0.22808184669651385]"
74,boland_right_angry_sunglasses.png,right,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.965179357,0.600905359,0.424489821,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.424489820601661, 0.2002284692910498, 0.1967565149941775, 0.17852519511311168]"
75,boland_right_happy_open.png,right,open,happy,FALSE,FALSE,FALSE,,,,0.992631716,0.642534316,0.364354224,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.364354223782559, 0.24248100493777025, 0.21278817561952365, 0.18037659566014713]"
76,boland_right_happy_sunglasses.png,right,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.990008417,0.642859221,0.374010537,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.3740105366578404, 0.22261298151920939, 0.2198869886408731, 0.1834894931820771]"
77,boland_right_neutral_open.png,right,open,neutral,FALSE,FALSE,FALSE,,,,0.981687181,0.689441204,0.304326113,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.3043261130220345, 0.25883681938532527, 0.24976250588160204, 0.18707456171103812]"
78,boland_right_neutral_sunglasses.png,right,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.989011643,0.59572643,0.328481977,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.32848197698553727, 0.22702886082600005, 0.22676107259768077, 0.217728089590782]"
79,boland_right_sad_open.png,right,open,sad,FALSE,FALSE,FALSE,,,,0.973310323,0.715444267,0.313499193,sad,"[""sad"", ""angry"", ""neutral"", ""happy""]","[0.3134991932629483, 0.2672810632425722, 0.23515392054797182, 0.18406582294650756]"
80,boland_right_sad_sunglasses.png,right,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.9841613,0.666113079,0.293597539,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.2935975392350324, 0.26265737373551534, 0.2491266963420645, 0.1946183906873879]"
81,boland_straight_angry_open.png,straight,open,angry,TRUE,FALSE,FALSE,unresolved,happy,happy,0.970942597,0.61571455,0.365173712,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.36517371216492023, 0.35986532838452934, 0.15744892803481145, 0.11751203141573895]"
82,boland_straight_angry_sunglasses.png,straight,sunglasses,angry,FALSE,TRUE,TRUE,unresolved,,,0.996391225,0.957538605,0.270735092,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.2707350916352546, 0.25515707377713875, 0.24906298124789192, 0.2250448533397148]"
83,boland_straight_happy_open.png,straight,open,happy,FALSE,FALSE,FALSE,,,,0.990984896,0.711699009,0.373671872,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.37367187249913186, 0.2661074610784936, 0.18567604474917948, 0.17454462167319518]"
84,boland_straight_happy_sunglasses.png,straight,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.983756677,0.723952293,0.40380758,happy,"[""happy"", ""neutral"", ""angry"", ""sad""]","[0.40380757987505644, 0.21892375953634322, 0.20437317520052015, 0.17289548538808028]"
85,boland_straight_neutral_open.png,straight,open,neutral,FALSE,FALSE,FALSE,,,,0.995106767,0.665339708,0.324613799,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.32461379902257603, 0.2595923559900528, 0.21001277048461814, 0.20578107450275307]"
86,boland_straight_neutral_sunglasses.png,straight,sunglasses,neutral,FALSE,FALSE,TRUE,unresolved,,,0.994899702,0.937078238,0.311930951,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.31193095072488325, 0.2492531418521693, 0.22847920033617392, 0.21033670708677352]"
87,boland_straight_sad_open.png,straight,open,sad,FALSE,FALSE,TRUE,unresolved,,,0.925809765,0.964012265,0.42453527,sad,"[""sad"", ""angry"", ""happy"", ""neutral""]","[0.42453526958363397, 0.26094890209951027, 0.16033399004561505, 0.1541818382712408]"
88,boland_straight_sad_sunglasses.png,straight,sunglasses,sad,FALSE,FALSE,FALSE,,,,0.978452901,0.793407917,0.296550348,sad,"[""sad"", ""angry"", ""neutral"", ""happy""]","[0.2965503478793515, 0.27871940741853324, 0.21865181745775603, 0.20607842724435912]"
89,boland_up_angry_open.png,up,open,angry,TRUE,FALSE,FALSE,unresolved,sad,sad,0.948554181,0.7433635,0.41685201,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.4168520101607097, 0.21153362141261178, 0.19387705272640418, 0.17773731570027437]"
90,boland_up_angry_sunglasses.png,up,sunglasses,angry,FALSE,TRUE,FALSE,unresolved,,,0.995532217,0.616906404,0.269440486,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.26944048638012846, 0.2690355598419001, 0.24722776689960801, 0.21429618687836344]"
91,boland_up_happy_open.png,up,open,happy,FALSE,FALSE,FALSE,,,,0.991783787,0.752432048,0.273045787,happy,"[""happy"", ""sad"", ""angry"", ""neutral""]","[0.2730457867379563, 0.2607095730481888, 0.2583809061671194, 0.2078637340467355]"
92,boland_up_happy_sunglasses.png,up,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.9943371,0.696957469,0.302241065,happy,"[""happy"", ""angry"", ""sad"", ""neutral""]","[0.30224106496848663, 0.2572450465189417, 0.22687300125309057, 0.21364088725948097]"
93,boland_up_neutral_open.png,up,open,neutral,FALSE,FALSE,FALSE,,,,0.972803724,0.643032968,0.296208935,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.296208934750613, 0.291703420687469, 0.24614543211758796, 0.16594221244432994]"
94,boland_up_neutral_sunglasses.png,up,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.984333882,0.655245006,0.274059638,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.27405963813419126, 0.2718560798368064, 0.2560394455314948, 0.19804483649750756]"
95,boland_up_sad_open.png,up,open,sad,FALSE,FALSE,FALSE,,,,0.967336651,0.674699664,0.327151824,sad,"[""sad"", ""angry"", ""neutral"", ""happy""]","[0.3271518241375561, 0.2568388625180713, 0.24933152490810526, 0.16667778843626746]"
96,boland_up_sad_sunglasses.png,up,sunglasses,sad,FALSE,FALSE,FALSE,,,,0.981624946,0.653474867,0.287459326,sad,"[""sad"", ""angry"", ""neutral"", ""happy""]","[0.28745932570471244, 0.265228965289292, 0.2488734213742096, 0.19843828763178603]"
97,bpm_left_angry_open.png,left,open,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.970260485,0.531698644,0.41921743,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.41921742996475286, 0.24879888041243303, 0.1795807030444189, 0.15240298657839535]"
98,bpm_left_angry_sunglasses.png,left,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.939586219,0.428094089,0.486797302,neutral,"[""neutral"", ""happy"", ""angry"", ""sad""]","[0.48679730181352754, 0.21034788569103963, 0.17113912578050922, 0.1317156867149236]"
